datetime,Achat Ecocup,Biere 25cl,Cafe,Carte Cashless,Cidre,Croque Choco,Frite,Hot-Dog,Menu Classique,Menu Vegetarien,Remboursement Ecocup,Sandwich Vege,Soft,Tee-shirts
2019-04-05 22:27:00,4,18,,2,,,1,,,,,1,3,
2019-04-05 22:28:00,8,31,,1,4,,5,,,,,,1,
2019-04-05 22:29:00,3,25,,1,1,1,2,,1,,,,2,
2019-04-05 22:30:00,3,18,,1,3,,5,2,1,1,,,,
2019-04-05 22:31:00,3,30,,2,,1,3,2,,,,,2,
2019-04-05 22:32:00,3,28,,2,,1,4,2,,1,4,,1,
2019-04-05 22:33:00,1,16,,,,,3,1,2,,,,,
2019-04-05 22:34:00,2,25,,,5,,1,,2,,,,,
2019-04-05 22:35:00,2,27,,1,1,,2,3,1,1,,,4,
2019-04-05 22:36:00,3,26,,,,,1,2,,,,,1,
2019-04-05 22:37:00,2,25,,1,4,,,1,,,,,1,
2019-04-05 22:38:00,1,24,,,3,,6,2,,1,,,5,
2019-04-05 22:39:00,2,26,,4,1,,2,3,1,1,,,3,
2019-04-05 22:40:00,2,22,,1,2,,1,2,,,2,1,,
2019-04-05 22:41:00,2,19,,2,3,1,2,5,,,,,2,
2019-04-05 22:42:00,4,29,,2,3,3,1,3,4,,1,,1,
2019-04-05 22:43:00,,21,,1,2,,1,2,,,,,,
2019-04-05 22:44:00,6,32,,1,6,,3,2,,,,,,
2019-04-05 22:45:00,1,28,,1,5,1,,,3,,,,2,
2019-04-05 22:46:00,4,27,,2,3,1,,2,,3,,,2,
2019-04-05 22:47:00,3,27,,1,2,1,3,1,,,,,3,
2019-04-05 22:48:00,1,16,,,3,,1,,2,,,,4,
2019-04-05 22:49:00,2,30,,,2,,2,1,,,,,,
2019-04-05 22:50:00,,26,,1,6,2,1,,1,1,,,2,
2019-04-05 22:51:00,,39,,1,,,2,2,1,2,,,1,
2019-04-05 22:52:00,1,23,,1,2,,,2,2,1,1,,3,
2019-04-05 22:53:00,8,20,,2,3,1,1,5,,,,1,3,
2019-04-05 22:54:00,4,21,,2,6,,1,2,2,,,,2,
2019-04-05 22:55:00,1,28,,,3,2,4,2,,1,,,,
2019-04-05 22:56:00,1,19,,1,4,1,9,11,,,,1,,
2019-04-05 22:57:00,5,30,,3,2,,2,,3,1,,,3,
2019-04-05 22:58:00,2,22,,2,1,,1,3,2,,,1,1,
